block,Total Employment
130630406222007,2
130630406223000,73
130630406223007,1
130639800001010,41
130639800001015,91
130639800001018,34801
130639800001019,5
130639800001020,266
130639800001027,101
130639800001043,18
130639800001055,707
130639800001057,53
130639800001058,152
130639800001070,12
130639800001073,584
130639800001074,147
130639800001079,2387
130639800001080,21
130639800001084,20
130639800001095,37
130639800001096,173
130639800001100,16
130639800001101,661
130639800001102,90
130639800001114,301
130639800001120,103
130890201001000,6
130890201001001,38
130890201001006,1
130890201001007,1
130890201001017,4
130890201001018,3
130890201001019,1
130890201001020,2
130890201001021,5
130890201001023,3
130890201001024,1
130890201001026,2
130890201001029,5
130890201001030,1
130890201001031,1
130890201001032,25
130890201001034,4
130890202001000,221
130890202001001,5
130890202001003,2
130890202001006,1
130890202001008,39
130890202001009,2
130890202001010,196
130890202001013,1
130890202001014,4
130890202002000,130
130890202002001,5
130890202002002,16
130890202002003,3
130890202002005,146
130890202002011,16
130890202002012,18
130890202002013,7
130890203001000,106
130890203001001,96
130890203001002,7
130890203001005,2
130890203001006,3
130890203001008,7
130890203001009,4
130890203001010,3
130890203001011,4
130890203001013,3
130890203002001,2
130890203002006,56
130890203002007,4
130890203002008,1
130890203002009,3
130890203002011,69
130890203002012,1
130890203002013,16
130890203002014,7
130890203002015,113
130890203002016,7
130890203003000,6
130890203003001,4
130890203003002,2
130890203003003,2
130890203003004,1
130890203003006,2
130890203003008,4
130890203003013,8
130890203003014,19
130890203003015,7
130890203003017,2
130890203003019,7
130890203003020,4
130890203003021,1
130890203003022,3
130890203003027,1
130890203003030,2
130890204001000,107
130890204001001,2
130890204001002,63
130890204001003,16
130890204001005,3
130890204001006,2
130890204001007,2
130890204001008,13
130890204001009,1
130890204001010,593
130890204001012,8
130890204001013,117
130890204002001,1
130890204002002,4
130890204002003,24
130890204002004,6
130890204002005,15
130890204002006,141
130890204002008,4
130890204002009,2
130890204002013,39
130890204002014,33
130890205001000,9
130890205001002,560
130890205001004,4
130890205001005,759
130890205001011,2
130890205001012,6
130890205001016,15
130890205001018,50
130890205002000,3
130890205002003,4
130890205002006,7
130890205002008,1
130890205002012,1
130890205002013,5
130890205002016,8
130890205002018,1
130890205002023,1
130890205002024,5
130890205002026,17
130890205002028,2
130890205002031,1
130890205002034,26
130890205002040,9
130890206001000,1
130890206001002,2
130890206001003,3
130890206002003,287
130890206002004,256
130890206002005,1
130890206002006,6
130890206002009,18
130890206002015,127
130890207001000,2
130890207001001,8
130890207001002,1
130890207001005,24
130890207001006,39
130890207001007,39
130890207001008,71
130890207001009,2
130890207001010,5
130890207001012,1
130890207001013,3
130890207001014,14
130890207001015,2
130890207001018,5
130890207001019,7
130890207002002,61
130890207002003,2
130890207002004,1
130890207002005,2
130890207002007,1
130890207002009,4
130890207002010,2
130890207002011,118
130890207002013,60
130890208011000,7
130890208011003,12
130890208011005,2
130890208011010,2
130890208011011,1
130890208011014,13
130890208011016,2
130890208011018,6
130890208011020,27
130890208011021,9
130890208011024,2
130890208011027,4
130890208012001,60
130890208012002,7
130890208012003,3
130890208012004,2
130890208012005,2
130890208012006,1
130890208012007,1
130890208012009,1
130890208012010,2
130890208012011,15
130890208012016,2
130890208012018,5
130890208012019,1
130890208021002,5
130890208021004,1
130890208021005,5
130890208021006,4
130890208021007,40
130890208021009,25
130890208021010,8
